category,total_orders,payment_method,year
mobiles & tablets,8906,Easypay,2017
mobiles & tablets,8064,Payaxis,2017
others,6179,Easypay,2018
mobiles & tablets,5607,bankalfalah,2018
mobiles & tablets,5074,Payaxis,2016
appliances,4168,Easypay,2017
mobiles & tablets,4031,Easypay,2018
mens fashion,3407,Easypay,2017
mobiles & tablets,3385,Payaxis,2018
mobiles & tablets,3056,easypay_voucher,2017
others,2437,Easypay_MA,2018
mobiles & tablets,2304,cod,2017
mens fashion,2300,Payaxis,2016
appliances,2202,Payaxis,2017
others,2159,Payaxis,2018
mens fashion,2144,Payaxis,2017
women's fashion,2068,Easypay,2017
entertainment,1986,Payaxis,2017
entertainment,1953,Easypay,2017
appliances,1894,Payaxis,2016
women's fashion,1741,Payaxis,2017
others,1717,jazzwallet,2018
mobiles & tablets,1556,jazzwallet,2016
appliances,1532,easypay_voucher,2017
others,1388,bankalfalah,2018
appliances,1349,bankalfalah,2018
appliances,1292,Easypay,2018
entertainment,1283,Payaxis,2016
mobiles & tablets,1241,jazzvoucher,2018
others,1217,Payaxis,2016
computing,1180,Easypay,2017
appliances,1145,Payaxis,2018
mens fashion,1144,Easypay,2018
mobiles & tablets,1128,Easypay_MA,2017
soghaat,1122,Payaxis,2016
beauty & grooming,1116,Easypay,2017
women's fashion,1114,cod,2017
mens fashion,1099,bankalfalah,2018
home & living,1082,Easypay,2017
superstore,1044,Payaxis,2017
mobiles & tablets,1019,easypay_voucher,2018
entertainment,1016,Payaxis,2018
computing,999,Payaxis,2017
others,992,easypay_voucher,2018
mobiles & tablets,978,cod,2016
mobiles & tablets,962,jazzvoucher,2016
superstore,933,Payaxis,2016
entertainment,895,easypay_voucher,2017
computing,893,Payaxis,2016
women's fashion,892,Payaxis,2016
appliances,881,jazzwallet,2016
mens fashion,873,cod,2017
soghaat,850,Easypay,2017
mobiles & tablets,842,cod,2018
appliances,828,Easypay_MA,2017
appliances,814,cod,2017
entertainment,792,Easypay,2018
beauty & grooming,766,Payaxis,2016
beauty & grooming,757,Payaxis,2017
women's fashion,723,bankalfalah,2018
mobiles & tablets,723,jazzwallet,2017
superstore,676,jazzwallet,2017
entertainment,666,bankalfalah,2018
entertainment,657,cod,2017
home & living,645,Payaxis,2016
appliances,637,cod,2018
superstore,597,jazzwallet,2016
home & living,593,Payaxis,2017
superstore,589,Easypay,2017
entertainment,586,easypay_voucher,2018
superstore,567,bankalfalah,2018
beauty & grooming,549,bankalfalah,2018
others,545,jazzwallet,2016
soghaat,539,Payaxis,2017
kids & baby,534,Payaxis,2017
mens fashion,532,cod,2016
women's fashion,527,Easypay,2018
appliances,524,easypay_voucher,2018
beauty & grooming,518,cod,2017
mens fashion,518,Payaxis,2018
others,512,Payaxis,2017
home & living,509,jazzwallet,2016
appliances,507,jazzvoucher,2016
beauty & grooming,502,jazzwallet,2016
soghaat,497,Easypay,2018
others,488,easypay_voucher,2017
others,487,cod,2016
superstore,474,Easypay,2018
mobiles & tablets,472,Easypay_MA,2018
kids & baby,469,Easypay,2017
computing,453,jazzwallet,2016
women's fashion,451,cod,2018
others,449,jazzvoucher,2016
mens fashion,449,Easypay_MA,2017
superstore,447,Payaxis,2018
mens fashion,447,jazzwallet,2016
soghaat,446,jazzwallet,2016
computing,441,bankalfalah,2018
mens fashion,440,easypay_voucher,2017
health & sports,429,Payaxis,2017
mens fashion,409,cod,2018
health & sports,404,Easypay,2017
mens fashion,401,jazzwallet,2017
computing,388,Payaxis,2018
others,383,Easypay,2017
women's fashion,377,Payaxis,2018
women's fashion,369,jazzwallet,2016
entertainment,366,Easypay_MA,2017
computing,363,Easypay,2018
entertainment,361,cod,2018
appliances,357,jazzvoucher,2018
women's fashion,349,cod,2016
home & living,347,bankalfalah,2018
entertainment,344,jazzvoucher,2018
soghaat,334,cod,2016
beauty & grooming,333,Easypay,2018
health & sports,328,Payaxis,2016
mens fashion,313,jazzvoucher,2016
others,298,cod,2017
appliances,296,cod,2016
beauty & grooming,292,jazzvoucher,2016
home & living,290,cod,2017
others,288,jazzwallet,2017
beauty & grooming,277,cod,2016
computing,276,easypay_voucher,2017
appliances,275,Easypay_MA,2018
entertainment,274,jazzwallet,2016
home & living,263,jazzvoucher,2016
kids & baby,260,cod,2017
others,255,cod,2018
computing,252,cod,2017
superstore,251,jazzvoucher,2016
entertainment,249,jazzvoucher,2016
appliances,247,jazzwallet,2017
soghaat,243,bankalfalah,2018
appliances,242,apg,2018
mobiles & tablets,242,jazzvoucher,2017
mobiles & tablets,230,jazzwallet,2018
mobiles & tablets,230,ublcreditcard,2016
mobiles & tablets,221,apg,2018
superstore,220,cod,2017
kids & baby,212,Payaxis,2016
beauty & grooming,209,Payaxis,2018
women's fashion,206,easypay_voucher,2017
home & living,205,easypay_voucher,2017
health & sports,201,cod,2017
computing,200,Easypay_MA,2017
computing,199,jazzvoucher,2016
home & living,196,Easypay,2018
computing,193,cod,2018
kids & baby,186,bankalfalah,2018
home & living,185,Easypay_MA,2017
beauty & grooming,183,cod,2018
entertainment,183,Easypay_MA,2018
others,182,jazzvoucher,2018
health & sports,180,jazzwallet,2016
beauty & grooming,173,easypay_voucher,2017
women's fashion,173,jazzvoucher,2016
women's fashion,166,Easypay_MA,2017
women's fashion,165,jazzwallet,2017
soghaat,164,cod,2017
health & sports,160,bankalfalah,2018
beauty & grooming,153,Easypay_MA,2017
home & living,153,cod,2018
health & sports,153,Easypay,2018
others,151,Easypay_MA,2017
health & sports,151,cod,2016
appliances,149,jazzwallet,2018
kids & baby,147,Easypay,2018
soghaat,144,jazzvoucher,2016
mens fashion,133,apg,2018
entertainment,132,cod,2016
entertainment,128,jazzwallet,2017
computing,123,cod,2016
soghaat,121,Payaxis,2018
superstore,119,cod,2018
mobiles & tablets,119,mygateway,2016
home & living,117,cod,2016
mens fashion,116,jazzwallet,2018
appliances,116,jazzvoucher,2017
beauty & grooming,115,jazzwallet,2017
others,113,jazzvoucher,2017
computing,111,jazzwallet,2017
soghaat,110,jazzwallet,2017
beauty & grooming,109,apg,2018
mens fashion,109,Easypay_MA,2018
home & living,108,jazzwallet,2017
mens fashion,107,jazzvoucher,2017
health & sports,106,cod,2018
kids & baby,105,cod,2018
home & living,104,Payaxis,2018
women's fashion,100,Easypay_MA,2018
superstore,98,Easypay_MA,2018
kids & baby,98,jazzwallet,2017
women's fashion,96,jazzwallet,2018
entertainment,95,apg,2018
superstore,88,Easypay_MA,2017
health & sports,88,Payaxis,2018
women's fashion,87,easypay_voucher,2018
beauty & grooming,87,jazzwallet,2018
computing,85,easypay_voucher,2018
kids & baby,83,cod,2016
kids & baby,78,Payaxis,2018
beauty & grooming,76,Easypay_MA,2018
mens fashion,75,easypay_voucher,2018
superstore,74,easypay_voucher,2017
women's fashion,72,apg,2018
entertainment,72,jazzvoucher,2017
mens fashion,71,mygateway,2016
women's fashion,68,jazzvoucher,2017
women's fashion,67,jazzvoucher,2018
computing,67,Easypay_MA,2018
superstore,66,jazzwallet,2018
superstore,63,jazzvoucher,2018
home & living,62,apg,2018
school & education,61,Easypay,2017
kids & baby,61,Easypay_MA,2017
beauty & grooming,60,easypay_voucher,2018
superstore,59,apg,2018
computing,59,apg,2018
school & education,58,Payaxis,2016
beauty & grooming,56,jazzvoucher,2018
superstore,56,cod,2016
school & education,55,cod,2016
appliances,54,ublcreditcard,2016
superstore,52,jazzvoucher,2017
soghaat,52,Easypay_MA,2017
health & sports,52,jazzwallet,2017
mens fashion,52,ublcreditcard,2016
health & sports,50,Easypay_MA,2017
mens fashion,49,jazzvoucher,2018
entertainment,49,jazzwallet,2018
mobiles & tablets,48,internetbanking,2016
soghaat,47,jazzvoucher,2017
soghaat,47,Easypay_MA,2018
soghaat,44,cod,2018
soghaat,43,mygateway,2016
computing,43,jazzvoucher,2018
school & education,42,Payaxis,2017
health & sports,42,jazzvoucher,2016
kids & baby,42,easypay_voucher,2017
women's fashion,40,mygateway,2016
women's fashion,40,ublcreditcard,2016
soghaat,39,ublcreditcard,2016
school & education,38,bankalfalah,2018
soghaat,37,jazzwallet,2018
health & sports,37,Easypay_MA,2018
kids & baby,36,jazzwallet,2016
superstore,35,easypay_voucher,2018
soghaat,35,internetbanking,2016
home & living,35,jazzvoucher,2017
soghaat,34,mcblite,2016
health & sports,34,easypay_voucher,2017
health & sports,33,apg,2018
mens fashion,33,internetbanking,2016
health & sports,32,jazzwallet,2018
school & education,30,cod,2017
computing,30,jazzwallet,2018
others,29,mygateway,2016
mobiles & tablets,29,mcblite,2016
others,28,ublcreditcard,2016
school & education,28,Easypay,2018
women's fashion,28,internetbanking,2016
entertainment,28,ublcreditcard,2016
computing,28,ublcreditcard,2016
mens fashion,27,mcblite,2016
books,26,cod,2016
others,25,internetbanking,2016
computing,25,jazzvoucher,2017
home & living,25,Easypay_MA,2018
beauty & grooming,24,ublcreditcard,2016
computing,24,mygateway,2016
home & living,24,jazzwallet,2018
soghaat,23,easypay_voucher,2017
beauty & grooming,22,mygateway,2016
others,21,apg,2018
beauty & grooming,21,jazzvoucher,2017
home & living,20,easypay_voucher,2018
kids & baby,20,easypay_voucher,2018
appliances,20,mygateway,2016
school & education,19,cod,2018
school & education,19,Payaxis,2018
home & living,18,jazzvoucher,2018
books,18,Payaxis,2016
kids & baby,18,apg,2018
books,18,bankalfalah,2018
books,17,cod,2017
