category,total_orders,payment_method,year
mobiles & tablets,5979,easypay_voucher,2017
superstore,3544,jazzwallet,2017
appliances,2938,easypay_voucher,2017
mobiles & tablets,2792,Easypay,2017
appliances,2640,Easypay,2017
entertainment,2152,easypay_voucher,2017
mobiles & tablets,2093,Payaxis,2017
mobiles & tablets,1838,cod,2017
mobiles & tablets,1825,Easypay,2018
mobiles & tablets,1708,jazzwallet,2016
mobiles & tablets,1636,Payaxis,2018
superstore,1572,Payaxis,2017
mens fashion,1274,Easypay,2017
mobiles & tablets,1177,easypay_voucher,2018
beauty & grooming,1066,jazzwallet,2016
women's fashion,1021,Payaxis,2017
appliances,983,Payaxis,2017
mobiles & tablets,978,Payaxis,2016
entertainment,932,Payaxis,2018
women's fashion,931,cod,2017
superstore,875,cod,2017
mens fashion,867,cod,2017
mens fashion,866,Payaxis,2017
women's fashion,847,Easypay,2017
appliances,840,Payaxis,2018
appliances,795,jazzwallet,2016
superstore,791,jazzwallet,2016
mobiles & tablets,778,jazzvoucher,2016
appliances,764,Easypay,2018
superstore,764,Easypay,2017
beauty & grooming,742,Easypay,2017
entertainment,713,Payaxis,2017
entertainment,687,Easypay,2017
beauty & grooming,642,cod,2017
mobiles & tablets,632,cod,2018
entertainment,631,Easypay,2018
home & living,616,Easypay,2017
computing,601,Easypay,2017
entertainment,584,easypay_voucher,2018
superstore,582,Payaxis,2016
soghaat,561,jazzwallet,2016
soghaat,543,cod,2017
mobiles & tablets,489,Easypay_MA,2017
appliances,480,Easypay_MA,2017
mens fashion,476,easypay_voucher,2017
computing,470,jazzwallet,2016
appliances,461,jazzvoucher,2016
appliances,442,Payaxis,2016
beauty & grooming,404,Payaxis,2017
computing,380,Payaxis,2017
kids & baby,380,cod,2017
entertainment,378,cod,2017
home & living,371,jazzwallet,2016
mobiles & tablets,363,jazzvoucher,2018
mens fashion,358,Easypay_MA,2017
superstore,355,jazzvoucher,2016
beauty & grooming,353,jazzvoucher,2016
entertainment,338,Payaxis,2016
