category,price,discount,month,year
beauty & grooming,45218.0,18390.0,1,2018
school & education,210.0,205.0,1,2018
home & living,14360.0,6520.0,1,2018
superstore,82213.0,32082.0,1,2018
mens fashion,59633.0,23300.0,1,2018
mobiles & tablets,8820747.0,909702.0,1,2018
appliances,1715941.0,234348.0,1,2018
women's fashion,166200.0,70828.0,1,2018
soghaat,7513.0,3623.0,1,2018
kids & baby,16963.0,6107.0,1,2018
computing,391650.0,57601.0,1,2018
health & sports,11912.0,4572.0,1,2018
entertainment,2093745.0,171155.0,1,2018
others,8000.0,1900.0,1,2018
soghaat,2796.0,554.0,2,2018
computing,5026134.0,572462.0,2,2018
health & sports,41277.0,10334.0,2,2018
mens fashion,69480.0,18083.0,2,2018
mobiles & tablets,62113182.0,8038675.0,2,2018
superstore,61181.0,23345.0,2,2018
kids & baby,8399.0,2187.0,2,2018
home & living,59864.0,38793.0,2,2018
appliances,26033864.0,3450528.0,2,2018
beauty & grooming,33966.0,8276.0,2,2018
women's fashion,120327.0,38152.0,2,2018
school & education,350.0,1.0,2,2018
books,424.0,200.0,2,2018
entertainment,29070893.0,3380785.0,2,2018
others,656000.0,51200.0,2,2018
mobiles & tablets,52075911.0,6668853.0,3,2018
beauty & grooming,73160.0,21324.0,3,2018
superstore,91975.0,24857.0,3,2018
soghaat,8655.0,3200.0,3,2018
kids & baby,6696.0,2754.0,3,2018
home & living,35436.0,9351.0,3,2018
health & sports,265623.0,69894.0,3,2018
entertainment,20914217.0,2791755.0,3,2018
books,234.0,196.0,3,2018
mens fashion,209386.0,61760.0,3,2018
computing,4466822.0,555352.0,3,2018
women's fashion,709410.0,214007.0,3,2018
appliances,20650428.0,2498545.0,3,2018
school & education,1736.0,596.0,3,2018
others,526000.0,33200.0,3,2018
home & living,41195.0,11946.0,4,2018
health & sports,33638.0,9900.0,4,2018
soghaat,11940.0,3850.0,4,2018
beauty & grooming,37470.0,11400.0,4,2018
mens fashion,37872.0,16440.0,4,2018
mobiles & tablets,3055245.0,536200.0,4,2018
computing,31604.0,5350.0,4,2018
kids & baby,14440.0,3950.0,4,2018
entertainment,404351.0,81750.0,4,2018
women's fashion,227496.0,56170.0,4,2018
appliances,1750910.0,288800.0,4,2018
superstore,200503.0,43100.0,4,2018
school & education,549.0,500.0,4,2018
books,1299.0,500.0,4,2018
superstore,41886.0,5055.0,5,2018
mens fashion,2059.0,798.0,5,2018
home & living,2614.0,1351.0,5,2018
women's fashion,11985.0,2063.0,5,2018
computing,2233041.0,204731.0,5,2018
health & sports,1562.0,524.0,5,2018
beauty & grooming,15493.0,2553.0,5,2018
appliances,4358581.0,442296.0,5,2018
mobiles & tablets,8968624.0,830675.0,5,2018
entertainment,6279294.0,587425.0,5,2018
mens fashion,375.0,200.0,6,2018
appliances,795.0,200.0,6,2018
women's fashion,1320.0,613.0,7,2018
